t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.34,1.1195,1.12
10,34.371,1.1192,1.12
12.5,34.403,1.119,1.12
15,34.435,1.1188,1.12
17.5,34.465,1.1186,1.12
20,34.492,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.535,1.1181,1.12
27.5,34.551,1.1179,1.12
30,34.563,1.1178,1.12
32.5,34.572,1.1176,1.12
35,34.578,1.1175,1.12
37.5,34.582,1.1174,1.12
40,34.584,1.1174,1.12
42.5,34.584,1.1173,1.12
45,34.583,1.1173,1.12
47.5,34.581,1.1173,1.12
50,34.579,1.1173,1.12
52.5,34.576,1.1174,1.12
55,34.573,1.1174,1.12
57.5,34.57,1.1175,1.12
60,34.567,1.1176,1.12
62.5,34.565,1.1177,1.12
65,34.563,1.1178,1.12
67.5,34.561,1.1179,1.12
70,34.559,1.118,1.12
72.5,34.558,1.1181,1.12
75,34.557,1.1182,1.12
77.5,34.557,1.1183,1.12
80,34.557,1.1184,1.12
82.5,34.557,1.1184,1.12
85,34.557,1.1185,1.12
87.5,34.557,1.1186,1.12
90,34.558,1.1187,1.12
92.5,34.559,1.1188,1.12
95,34.56,1.1188,1.12
97.5,34.561,1.1189,1.12
100,34.562,1.119,1.12
102.5,34.563,1.119,1.12
105,34.564,1.1191,1.12
107.5,34.565,1.1191,1.12
110,34.566,1.1191,1.12
112.5,34.567,1.1192,1.12
115,34.568,1.1192,1.12
117.5,34.569,1.1192,1.12
120,34.57,1.1193,1.12
122.5,34.571,1.1193,1.12
125,34.572,1.1193,1.12
127.5,17.71,1.1194,0.8
130,5.1936,1.1194,0.8
132.5,0,1.1194,0.8
135,0,1.1194,0.8
137.5,0,1.1194,0.8
140,0,1.1326,0.8
142.5,0,1.1516,0.8
145,0,1.1687,0.8
147.5,0,1.1794,0.8
150,0,1.1844,0.8
152.5,0,1.1846,0.8
155,0,1.1805,0.8
157.5,0,1.1728,0.8
160,0,1.1619,0.8
162.5,0,1.1484,0.8
165,0.19237,1.1325,0.8
167.5,1.0706,1.1147,0.8
170,2.4997,1.0953,0.8
172.5,4.353,1.0746,0.8
175,6.513,1.0527,0.8
177.5,8.874,1.0299,0.8
180,11.346,1.0058,0.8
182.5,13.849,0.98044,0.8
185,16.307,0.95414,0.8
187.5,18.645,0.92728,0.8
190,20.792,0.90035,0.8
192.5,22.68,0.87392,0.8
195,24.253,0.84853,0.8
197.5,25.465,0.82473,0.8
200,26.286,0.80298,0.8
202.5,26.708,0.78369,0.8
205,26.741,0.76718,0.8
207.5,26.415,0.75366,0.8
210,25.777,0.74325,0.8
212.5,24.887,0.73596,0.8
215,23.812,0.7317,0.8
217.5,22.621,0.73028,0.8
220,21.379,0.73144,0.8
222.5,20.147,0.73489,0.8
225,18.974,0.74025,0.8
227.5,17.897,0.74715,0.8
230,16.942,0.75521,0.8
232.5,16.123,0.76404,0.8
235,15.445,0.77329,0.8
237.5,14.905,0.78264,0.8
240,14.492,0.7918,0.8
242.5,14.193,0.80052,0.8
245,13.993,0.80861,0.8
247.5,13.875,0.81593,0.8
250,13.825,0.82237,0.8
252.5,13.828,0.82787,0.8
255,13.873,0.83243,0.8
257.5,13.948,0.83605,0.8
260,14.046,0.83876,0.8
262.5,14.16,0.84064,0.8
265,14.284,0.84175,0.8
267.5,14.414,0.84217,0.8
270,14.547,0.84199,0.8
272.5,14.681,0.8413,0.8
275,14.812,0.84017,0.8
277.5,14.939,0.8387,0.8
280,15.06,0.83695,0.8
282.5,15.175,0.83499,0.8
285,15.282,0.83289,0.8
287.5,15.381,0.83069,0.8
290,15.47,0.82846,0.8
292.5,15.549,0.82622,0.8
295,15.618,0.82402,0.8
297.5,15.678,0.82189,0.8
300,15.727,0.81985,0.8
302.5,15.767,0.81792,0.8
305,15.798,0.81611,0.8
307.5,15.821,0.81444,0.8
310,15.835,0.81291,0.8
312.5,15.842,0.81152,0.8
315,15.842,0.81028,0.8
317.5,15.836,0.80918,0.8
320,15.824,0.80822,0.8
322.5,15.807,0.80739,0.8
325,15.784,0.80668,0.8
327.5,15.756,0.80608,0.8
330,15.723,0.80559,0.8
332.5,15.685,0.8052,0.8
335,15.641,0.80489,0.8
337.5,15.593,0.80465,0.8
340,15.54,0.80447,0.8
342.5,15.483,0.80435,0.8
345,15.422,0.80428,0.8
347.5,15.358,0.80423,0.8
350,15.292,0.80422,0.8
352.5,15.226,0.80422,0.8
355,15.161,0.80423,0.8
357.5,15.1,0.80424,0.8
360,15.043,0.80425,0.8
362.5,14.994,0.80424,0.8
365,14.953,0.80421,0.8
367.5,14.922,0.80414,0.8
370,14.9,0.80404,0.8
372.5,14.887,0.8039,0.8
375,14.882,0.8037,0.8
377.5,14.903,0.80345,0.8
380,14.955,0.80314,0.8
382.5,15.035,0.80278,0.8
385,15.132,0.80236,0.8
387.5,15.238,0.80189,0.8
390,15.349,0.80137,0.8
392.5,15.458,0.80078,0.8
395,15.564,0.80014,0.8
397.5,15.663,0.79946,0.8
400,15.754,0.79877,0.8
402.5,15.836,0.79807,0.8
405,15.908,0.79739,0.8
407.5,15.97,0.79676,0.8
410,16.021,0.79619,0.8
412.5,16.063,0.79569,0.8
415,16.095,0.79529,0.8
417.5,16.115,0.79497,0.8
420,16.125,0.79476,0.8
422.5,16.122,0.79465,0.8
425,16.106,0.79464,0.8
427.5,16.079,0.79472,0.8
